Unnamed: 0,userName,score,at,content,content_lower,content_token,content_no_stopwords,content_stemmed,Topic
38,Mister Amsal,2,2025-05-29 04:22:19,"saat saya pakai, pernah tidak baik, saya sudah pesan dan bayar namun aplikasinya nge bug, bersyukur setelah tanya ke kasir, sudah masuk pesanan saya","saat saya pakai, pernah tidak baik, saya sudah pesan dan bayar namun aplikasinya nge bug, bersyukur setelah tanya ke kasir, sudah masuk pesanan saya","['saat', 'saya', 'pakai', ',', 'pernah', 'tidak', 'baik', ',', 'saya', 'sudah', 'pesan', 'dan', 'bayar', 'namun', 'aplikasinya', 'nge', 'bug', ',', 'bersyukur', 'setelah', 'tanya', 'ke', 'kasir', ',', 'sudah', 'masuk', 'pesanan', 'saya']","['pakai', ',', ',', 'pesan', 'bayar', 'aplikasinya', 'nge', 'bug', ',', 'bersyukur', 'kasir', ',', 'masuk', 'pesanan']","['pakai', '', '', 'pesan', 'bayar', 'aplikasi', 'nge', 'bug', '', 'syukur', 'kasir', '', 'masuk', 'pesan']",113
39,darryl evan,1,2025-05-29 04:17:47,tidak compatible di HP tecno camon 40 pro 5G,tidak compatible di hp tecno camon 40 pro 5g,"['tidak', 'compatible', 'di', 'hp', 'tecno', 'camon', '40', 'pro', '5g']","['compatible', 'hp', 'tecno', 'camon', '40', 'pro', '5g']","['compatible', 'hp', 'tecno', 'camon', '40', 'pro', '5g']",17
40,Salwa Nurma Julianti,1,2025-05-29 02:11:01,saat diperlukan apk nya malah nge lag,saat diperlukan apk nya malah nge lag,"['saat', 'diperlukan', 'apk', 'nya', 'malah', 'nge', 'lag']","['apk', 'nya', 'nge', 'lag']","['apk', 'nya', 'nge', 'lag']",-1
41,proud of me,5,2025-05-28 20:50:43,aplikasi nya bagus banget,aplikasi nya bagus banget,"['aplikasi', 'nya', 'bagus', 'banget']","['aplikasi', 'nya', 'bagus', 'banget']","['aplikasi', 'nya', 'bagus', 'banget']",8
42,Maulana Nasir,5,2025-05-28 04:13:51,mantapp bosskuuuy,mantapp bosskuuuy,"['mantapp', 'bosskuuuy']","['mantapp', 'bosskuuuy']","['mantapp', 'bosskuuuy']",-1
43,Indah Novia NM,1,2025-05-28 03:39:26,Baru download lagi malah eror. Tidak bisa digunakan,baru download lagi malah eror. tidak bisa digunakan,"['baru', 'download', 'lagi', 'malah', 'eror', '.', 'tidak', 'bisa', 'digunakan']","['download', 'eror', '.']","['download', 'eror', '']",-1
44,Tjin Mat Lie Mollie,1,2025-05-27 21:22:13,aplikasi tersangkut pada layar loading memvuat saya bertengkar dengan anak. bagaimana saya bisa pesan promo Mcd?,aplikasi tersangkut pada layar loading memvuat saya bertengkar dengan anak. bagaimana saya bisa pesan promo mcd?,"['aplikasi', 'tersangkut', 'pada', 'layar', 'loading', 'memvuat', 'saya', 'bertengkar', 'dengan', 'anak', '.', 'bagaimana', 'saya', 'bisa', 'pesan', 'promo', 'mcd', '?']","['aplikasi', 'tersangkut', 'layar', 'loading', 'memvuat', 'bertengkar', 'anak', '.', 'pesan', 'promo', 'mcd', '?']","['aplikasi', 'sangkut', 'layar', 'loading', 'memvuat', 'tengkar', 'anak', '', 'pesan', 'promo', 'mcd', '']",-1
45,Romy Boom'S,5,2025-05-27 17:57:36,"di samsung a02s ngk bisa login min,ap ada kerusakan di mc aplikasnua","di samsung a02s ngk bisa login min,ap ada kerusakan di mc aplikasnua","['di', 'samsung', 'a02s', 'ngk', 'bisa', 'login', 'min', ',', 'ap', 'ada', 'kerusakan', 'di', 'mc', 'aplikasnua']","['samsung', 'a02s', 'ngk', 'login', 'min', ',', 'ap', 'kerusakan', 'mc', 'aplikasnua']","['samsung', 'a02s', 'ngk', 'login', 'min', '', 'ap', 'rusa', 'mc', 'aplikasnua']",61
46,Mahendra Ramadhani,5,2025-05-27 16:34:19,aplikasi yang sangat mantap,aplikasi yang sangat mantap,"['aplikasi', 'yang', 'sangat', 'mantap']","['aplikasi', 'mantap']","['aplikasi', 'mantap']",15
47,M RENALDI,5,2025-05-27 14:50:56,mantap sekali banyak promonya saya suka McDonald's Keren.,mantap sekali banyak promonya saya suka mcdonald's keren.,"['mantap', 'sekali', 'banyak', 'promonya', 'saya', 'suka', 'mcdonald', ""'s"", 'keren', '.']","['mantap', 'promonya', 'suka', 'mcdonald', ""'s"", 'keren', '.']","['mantap', 'promonya', 'suka', 'mcdonald', 's', 'keren', '']",46
48,Nadia Setiadi,1,2025-05-27 14:01:06,"aplikasinya gajelas. udah pesen, bayar via gopay, pembayaran udah sukses dan masuk email. tapi di aplikasi gak ada pesanan.","aplikasinya gajelas. udah pesen, bayar via gopay, pembayaran udah sukses dan masuk email. tapi di aplikasi gak ada pesanan.","['aplikasinya', 'gajelas', '.', 'udah', 'pesen', ',', 'bayar', 'via', 'gopay', ',', 'pembayaran', 'udah', 'sukses', 'dan', 'masuk', 'email', '.', 'tapi', 'di', 'aplikasi', 'gak', 'ada', 'pesanan', '.']","['aplikasinya', 'gajelas', '.', 'udah', 'pesen', ',', 'bayar', 'via', 'gopay', ',', 'pembayaran', 'udah', 'sukses', 'masuk', 'email', '.', 'aplikasi', 'gak', 'pesanan', '.']","['aplikasi', 'gajelas', '', 'udah', 'sen', '', 'bayar', 'via', 'gopay', '', 'bayar', 'udah', 'sukses', 'masuk', 'email', '', 'aplikasi', 'gak', 'pesan', '']",-1
